"Ontology ID	"	parent	NCBITaxon label	foodon label	definition (if not NCBITaxon)	definition source (if not NCBITaxon)	created	See Also (since term originates from NCBITaxon)	ITIS 	Exact Synonym		GenBank Common Name	term_source	curation status	Comment	"term editor	"	Curation Comment
NCBITaxon:555253		Fulica ardesiaca					https://en.wikipedia.org/wiki/Andean_coot	ITIS: 560122	andean coot			Genome Tracker			https://orcid.org/0000-0001-5275-8866	Orignal term 'focha andina'. As per this link, https://ebird.org/colombia/species/slccoo1/CO-NAR 
NCBITaxon:9954		Cephalophus					https://en.wikipedia.org/wiki/Cephalophus	ITIS:183848							https://orcid.org/0000-0001-5275-8866	
NCBITaxon:9952		Cephalophinae					https://en.wikipedia.org/wiki/Duiker		duiker			Genome Tracker			https://orcid.org/0000-0001-5275-8866	"Original term is 'Cephalophus , duiker 
.'Cephalophus (contains around 15 species of duiker)"
NCBITaxon:52644		Haliaeetus leucocephalus					https://en.wikipedia.org/wiki/Bald_eagle		bald eagle							
NCBITaxon:8969		Haliaeetus albicilla					https://en.wikipedia.org/wiki/White-tailed_eagle		white-tailed eagle							
FOODON:00003951	parrot		conure	A diverse, loosely defined group of small to medium-sized parrots	https://en.wikipedia.org/wiki/Conure	2021-09-06T20:39:00						Genome Tracker	IAO:0000122		https://orcid.org/0000-0001-5275-8866	
FOODON:00003953	avian animal		eagle	A common name for many large birds of prey which are a subset of the family Accipitridae	https://en.wikipedia.org/wiki/Eagle	2021-09-06T20:39:00	https://en.wikipedia.org/wiki/Eagle					Genome Tracker	IAO:0000122		https://orcid.org/0000-0001-5275-8866	
FOODON:00003952	Sus scrofa domesticus		piglet	An unweaned or immature pig.	https://en.wikipedia.org/wiki/Pig_farming#cite_note-18	2021-09-06T20:39:00			shoat			Genome Tracker	IAO:0000122		https://orcid.org/0000-0001-5275-8866	
																
																
