Ontology ID	 Label NCBI	Label FoodOn	NCBI parent ID	Ontology Alternative Term	Exact Synonym (FoodOn)	See Also	FDA Common Name [after changes]	FDA SFL Common Name	FDA Acceptable Market Name(s) [after changes]	FDA SFL Acceptable Market Name	NCBI Genbank Common Name [after changes]	ITIS (TSN)	FDA Alternative Term [original]	FDA Acceptable Market Name(s) [original]	NCBI Genbank Common Name [original]	FDA law	NCBI Synonym	terms source | term requested	"term editor	"
NCBITaxon:443676	Aphareus rutilans					https://en.wikipedia.org/wiki/Aphareus_(fish)	rusty jobfish	FDA SFL Common Name	jobfish | snapper	FDA SFL Acceptable Market Name		ITIS:168929	rusty jobfish	jobfish or snapper	rusty jobfish			FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:396781	Aprion virescens					https://en.wikipedia.org/wiki/Green_jobfish	green jobfish	FDA SFL Common Name	jobfish | snapper	FDA SFL Acceptable Market Name		ITIS:168926	green jobfish	jobfish or snapper				FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:617122	Apsilus dentatus					https://en.wikipedia.org/wiki/Apsilus 	black snapper	FDA SFL Common Name	snapper	FDA SFL Acceptable Market Name		ITIS:168899	black snapper	snapper	black snapper			FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:546540	Apsilus fuscus					https://en.wikipedia.org/wiki/Apsilus	african forktail snapper	FDA SFL Common Name	snapper	FDA SFL Acceptable Market Name		ITIS:168900	african forktail snapper	snapper	african forktail snapper			FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:121025	Arca imbricata					https://en.wikipedia.org/wiki/Arca_imbricata	mossy ark	FDA SFL Common Name	arkshell	FDA SFL Acceptable Market Name		ITIS:79370	mossy ark	arkshell				FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:44597	Arca noae					https://en.wikipedia.org/wiki/Arca_noae	noah's ark	FDA SFL Common Name	arkshell	FDA SFL Acceptable Market Name			noah's ark	arkshell				FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:173078	Arca zebra					https://en.wikipedia.org/wiki/Arca_zebra	turkey wing	FDA SFL Common Name	arkshell	FDA SFL Acceptable Market Name		ITIS:79368	turkey wing	arkshell				FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:201701	Archoplites interruptus					https://en.wikipedia.org/wiki/Sacramento_perch	sacramento perch	FDA SFL Common Name	sunfish	FDA SFL Acceptable Market Name		ITIS:168175	sacramento perch	sunfish	sacramento perch		Centrarchus interruptus	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:59239	Arctica islandica					https://en.wikipedia.org/wiki/Arctica_islandica	ocean quahog	FDA SFL Common Name	hard clam	FDA SFL Acceptable Market Name		ITIS:81343	ocean quahog	clam, hard			Venus islandica	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:185734	Arctogadus borisovi					https://en.wikipedia.org/wiki/East_Siberian_cod	toothed cod	FDA SFL Common Name	cod	FDA SFL Acceptable Market Name	east siberian cod	ITIS:164703	toothed cod	cod	east siberian cod			FDA Seafood List 2021 | Genome Tracker	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:185735	Arctogadus glacialis					https://en.wikipedia.org/wiki/Arctogadus 	polar cod	FDA SFL Common Name	cod	FDA SFL Acceptable Market Name	arctic cod	ITIS:164704	polar cod	cod	arctic cod		Gadus glacialis	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:446415	Argentina silus					https://en.wikipedia.org/wiki/Greater_argentine	great silver smelt	FDA SFL Common Name	smelt	FDA SFL Acceptable Market Name	greater argentine	ITIS:162064	great silver smelt	smelt	greater argentine		Salmo silus	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:442169	Argentina sphyraena					https://en.wikipedia.org/wiki/Argentina_sphyraena	lesser silver smelt	FDA SFL Common Name	smelt	FDA SFL Acceptable Market Name	european argentine	ITIS:162071	lesser silver smelt	smelt	european argentine			FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:78525	Argopecten gibbus					https://en.wikipedia.org/wiki/Argopecten_gibbus	atlantic calico scallop	FDA SFL Common Name	calico scallop	FDA SFL Acceptable Market Name		ITIS:79734	atlantic calico scallop	scallop, calico			Ostrea gibba	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:31199	Argopecten irradians					https://en.wikipedia.org/wiki/Argopecten_irradians	bay scallop	FDA SFL Common Name	scallop | bay scallop	FDA SFL Acceptable Market Name		ITIS:79737	bay scallop	scallop or bay scallop	bay scallop		Pecten irradians | Aequipecten irradians	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:509964	Argopecten nucleus					https://en.wikipedia.org/wiki/Argopecten_nucleus	nucleus scallop	FDA SFL Common Name	scallop	FDA SFL Acceptable Market Name		ITIS:79742	nucleus scallop	scallop				FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:330902	Argopecten ventricosus						pacific calico scallop	FDA SFL Common Name	calico scallop	FDA SFL Acceptable Market Name		ITIS:567241	pacific calico scallop	scallop, calico			Pecten ventricosus	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:334903	Argyrosomus hololepidotus					https://en.wikipedia.org/wiki/Argyrosomus	cob	FDA SFL Common Name	croaker	FDA SFL Acceptable Market Name	madagascar meagre	ITIS:646511	cob	croaker	madagascar meagre		Johnius hololepidotus | Pseudosciaena hololepidota | Labrus hololepidotus	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:448029	Argyrosomus japonicus					https://en.wikipedia.org/wiki/Argyrosomus_japonicus	japanese croaker	FDA SFL Common Name	croaker	FDA SFL Acceptable Market Name	mulloway	ITIS:169369	japanese croaker	croaker	mulloway		Sciaena japonica | Nibea japonica	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:182421	Ariosoma balearicum					https://en.wikipedia.org/wiki/Bandtooth_conger	bandtooth conger	FDA SFL Common Name	conger eel	FDA SFL Acceptable Market Name		ITIS:161344	bandtooth conger	eel, conger	bandtooth conger		Muraena balearica	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:1585494	Arnoglossus scapha					https://en.wikipedia.org/wiki/Witch_(lefteye_flounder)	witch	FDA SFL Common Name	flounder	FDA SFL Acceptable Market Name	large scaled flounder	ITIS:616242	witch	flounder	large scaled flounder		Pleuronectes scapha	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:50368	Arothron			Arothron spp.		https://en.wikipedia.org/wiki/Arothron	puffers	FDA SFL Common Name	puffer	FDA SFL Acceptable Market Name			(puffers)	puffer				FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:163129	Arripis georgianus					https://en.wikipedia.org/wiki/Australian_herring	australian ruff	FDA SFL Common Name	kahawai	FDA SFL Acceptable Market Name		ITIS:168826	australian ruff	kahawai	australian ruff		Centropristes georgianus	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:270544	Arripis trutta					https://en.wikipedia.org/wiki/Arripis_trutta	kahawai	FDA SFL Common Name	kahawai	FDA SFL Acceptable Market Name	australian salmon	ITIS:168827	kahawai	kahawai	australian salmon		Sciaena trutta	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:195596	Aseraggodes kobensis					https://en.wikipedia.org/wiki/Aseraggodes	milky spotted sole	FDA SFL Common Name	sole	FDA SFL Acceptable Market Name		ITIS:172997	milky spotted sole	sole	milky spotted sole		Solea kobensis | Solea (Achirus) kobensis	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:6714	Astacus			Astacus spp.		https://en.wikipedia.org/wiki/Astacus	crayfishes	FDA SFL Common Name	crawfish | crayfish	FDA SFL Acceptable Market Name			(crayfishes)	crawfish or crayfish				FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:50733	Astronotus ocellatus					https://en.wikipedia.org/wiki/Oscar_(fish)	oscar	FDA SFL Common Name	oscar	FDA SFL Acceptable Market Name		ITIS:169772	oscar	oscar	oscar		Lobotes ocellatus	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:238741	Atherinops affinis					https://en.wikipedia.org/wiki/Topsmelt_silverside	topsmelt	FDA SFL Common Name	silverside	FDA SFL Acceptable Market Name	topsmelt silverside	ITIS:165986	topsmelt	silverside	topsmelt silverside		Atherinopsis affinis	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:1311532	Atherinopsis californiensis					https://en.wikipedia.org/wiki/Jack_silverside	jacksmelt	FDA SFL Common Name	silverside	FDA SFL Acceptable Market Name	jack silverside	ITIS:166012	jacksmelt	silverside	jack silverside			FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:49198	Atrina pectinata					https://en.wikipedia.org/wiki/Atrina	pen shell	FDA SFL Common Name	pen shell	FDA SFL Acceptable Market Name			pen shell	pen shell			Pinna truncata | Pinna pectinata	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:197572	Atule mate					https://en.wikipedia.org/wiki/Yellowtail_scad	yellowtail scad	FDA SFL Common Name	scad	FDA SFL Acceptable Market Name		ITIS:168625	yellowtail scad	scad	yellowfin scad		Caranx mate	FDA Seafood List 2021 | Genome Tracker	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:741939	Austroglossus microlepis					https://en.wikipedia.org/wiki/Austroglossus	west coast sole	FDA SFL Common Name	sole	FDA SFL Acceptable Market Name		ITIS:173039	west coast sole	sole	west coast sole		Synaptura microlepis	FDA Seafood List 2021 | Genome Tracker	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:526616	Austroglossus pectoralis					https://en.wikipedia.org/wiki/Austroglossus	mud sole	FDA SFL Common Name	sole	FDA SFL Acceptable Market Name		ITIS:173040	mud sole	sole	mud sole		Synaptura pectoralis	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:217026	Auxis rochei					https://en.wikipedia.org/wiki/Bullet_tuna	bullet tuna	FDA SFL Common Name	tuna 	FDA SFL Acceptable Market Name		ITIS:172455	bullet tuna	tuna (*)			Scomber rochei	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:13353	Auxis thazard					https://en.wikipedia.org/wiki/Frigate_tuna	frigate tuna	FDA SFL Common Name	tuna 	FDA SFL Acceptable Market Name		ITIS:172456	frigate tuna	tuna (*)	frigate tuna		Auxis thazzard | Scomber thazard	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:331523	Bairdiella chrysoura					https://en.wikipedia.org/wiki/American_silver_perch	silver perch	FDA SFL Common Name	silver perch	FDA SFL Acceptable Market Name		ITIS:169259	silver perch	perch, silver	silver perch		Dipterodon chrysourus	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:303685	Balistes capriscus					https://en.wikipedia.org/wiki/Grey_triggerfish	gray triggerfish	FDA SFL Common Name	triggerfish	FDA SFL Acceptable Market Name		ITIS:173138	gray triggerfish	triggerfish	grey triggerfish			FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:303687	Balistes vetula					https://en.wikipedia.org/wiki/Balistes_vetula	queen triggerfish	FDA SFL Common Name	triggerfish	FDA SFL Acceptable Market Name		ITIS:173139	queen triggerfish	triggerfish	queen triggerfish			FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:1643406	Basilichthys australis					https://en.wikipedia.org/wiki/Basilichthys_australis	south american silverside	FDA SFL Common Name	silverside	FDA SFL Acceptable Market Name		ITIS:630691	south american silverside	silverside				FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:341243	Bathyraja aleutica					https://en.wikipedia.org/wiki/Aleutian_skate	aleutian skate	FDA SFL Common Name	skate	FDA SFL Acceptable Market Name		ITIS:160935	aleutian skate	skate	aleutian skate		Raja aleutica	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:341244	Bathyraja interrupta					https://en.wikipedia.org/wiki/Bathyraja|https://www.fishbase.se/summary/Bathyraja-interrupta.html	sandpaper skate	FDA SFL Common Name	skate	FDA SFL Acceptable Market Name		ITIS:160937	sandpaper skate	skate	sandpaper skate		Raia interrupta	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:341249	Bathyraja parmifera					https://en.wikipedia.org/wiki/Bathyraja|https://www.fishbase.se/summary/Bathyraja-parmifera.html	alaska skate	FDA SFL Common Name	skate	FDA SFL Acceptable Market Name		ITIS:160939	alaska skate	skate	alaska skate		Raja parmifera	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:557337	Bathyraja spinicauda					https://en.wikipedia.org/wiki/Bathyraja|https://www.fishbase.se/summary/Bathyraja-spinicauda.html	spinytail skate	FDA SFL Common Name	skate	FDA SFL Acceptable Market Name	spinetail ray	ITIS:160932	spinytail skate	skate	spinetail ray		Raja spinicauda	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:341251	Bathyraja trachura					https://en.wikipedia.org/wiki/Bathyraja|https://www.fishbase.se/summary/Bathyraja-trachura.html	roughtail skate	FDA SFL Common Name	skate	FDA SFL Acceptable Market Name		ITIS:160942	roughtail skate	skate	roughtail skate		Raia trachura	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:294704	Berryteuthis magister					https://en.wikipedia.org/wiki/Berryteuthis_magister	magistrate armhook squid	FDA SFL Common Name	squid | calamari	FDA SFL Acceptable Market Name		ITIS:82430	magistrate armhook squid	squid or calamari			Gonatus magister	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:44932	Boreogadus saida					https://en.wikipedia.org/wiki/Boreogadus_saida	arctic cod	FDA SFL Common Name	cod	FDA SFL Acceptable Market Name		ITIS:164706	arctic cod	cod			Gadus saida	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:94921	Bothus lunatus					https://en.wikipedia.org/wiki/Plate_fish	peacock flounder	FDA SFL Common Name	flounder	FDA SFL Acceptable Market Name	plate fish	ITIS:172759	peacock flounder	flounder	plate fish		Pleuronectes lunatus	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:1156090	Bothus mancus					https://en.wikipedia.org/wiki/Peacock_flounder	tropical flounder	FDA SFL Common Name	flounder	FDA SFL Acceptable Market Name	flowery flounder	ITIS:172763	tropical flounder	flounder	flowery flounder		Pleuronectes mancus	FDA Seafood List 2021 | Genome Tracker	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:253859	Bothus ocellatus					https://en.wikipedia.org/wiki/Eyed_flounder	eyed flounder	FDA SFL Common Name	flounder	FDA SFL Acceptable Market Name		ITIS:172761	eyed flounder	flounder	eyed flounder		Rhombus ocellatus	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:366905	Bothus pantherinus					https://en.wikipedia.org/wiki/Leopard_flounder	panther flounder	FDA SFL Common Name	flounder	FDA SFL Acceptable Market Name	leopard flounder	ITIS:172764	panther flounder	flounder	leopard flounder		Rhombus pantherinus	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:435138	Brachirus orientalis					https://en.wikipedia.org/wiki/Brachirus|https://www.fishbase.se/summary/Brachirus-orientalis.html	oriental sole	FDA SFL Common Name	sole	FDA SFL Acceptable Market Name		ITIS:616622	oriental sole	sole	oriental sole		Pleuronectes orientalis | Euryglossa orientalis	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:396893	Brachyplatystoma vaillantii					https://en.wikipedia.org/wiki/Brachyplatystoma_vaillantii	piramutaba	FDA SFL Common Name	piramutaba	FDA SFL Acceptable Market Name	laulao catfish	ITIS:639380	piramutaba	piramutaba	laulao catfish		Platystoma vaillantii | Brachyplatystoma vaillanti	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:329022	Brevoortia gunteri					https://www.fishbase.se/summary/Brevoortia-gunteri.html	finescale menhaden	FDA SFL Common Name	menhaden	FDA SFL Acceptable Market Name		ITIS:161733	finescale menhaden	menhaden	finescale menhaden			FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:224707	Brevoortia patronus					https://en.wikipedia.org/wiki/Gulf_menhaden	gulf menhaden	FDA SFL Common Name	menhaden	FDA SFL Acceptable Market Name		ITIS:161734	gulf menhaden	menhaden	gulf menhaden			FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:329023	Brevoortia smithi					https://en.wikipedia.org/wiki/Menhaden	yellowfin menhaden	FDA SFL Common Name	menhaden	FDA SFL Acceptable Market Name		ITIS:161735	yellowfin menhaden	menhaden	yellowfin menhaden			FDA Seafood List 2021 | Genome Tracker	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:224708	Brevoortia tyrannus					https://en.wikipedia.org/wiki/Atlantic_menhaden	atlantic menhaden	FDA SFL Common Name	menhaden	FDA SFL Acceptable Market Name		ITIS:161732	atlantic menhaden	menhaden	atlantic menhaden		Clupea tyrannus	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:90071	Buglossidium luteum					https://en.wikipedia.org/wiki/Solenette	solenette	FDA SFL Common Name	yellow sole | sole	FDA SFL Acceptable Market Name		ITIS:173021	solenette	yellow sole or sole	solenette		Rhombus luteus | Pleuronectes luteus | Monochirus luteus	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:6481	Busycon			Busycon spp.		https://en.wikipedia.org/wiki/Busycon			whelk | sea snail	FDA SFL Acceptable Market Name				whelk or sea snail				FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:257891	Callinectes arcuatus					https://en.wikipedia.org/wiki/Callinectes_arcuatus	arched swimming crab	FDA SFL Common Name	swimming crab	FDA SFL Acceptable Market Name		ITIS:98701	arched swimming crab	crab, swimming				FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:375461	Callinectes toxotes					https://en.wikipedia.org/wiki/Callinectes	giant swimming crab	FDA SFL Common Name	swimming crab	FDA SFL Acceptable Market Name			giant swimming crab	crab, swimming				FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:60964	Cambarus			Cambarus spp.		https://en.wikipedia.org/wiki/Cambarus			crawfish | crayfish	FDA SFL Acceptable Market Name				crawfish or crayfish				FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:39395	Cancer borealis					https://en.wikipedia.org/wiki/Jonah_crab	jonah crab	FDA SFL Common Name	jonah crab	FDA SFL Acceptable Market Name		ITIS:98678	jonah crab	crab, jonah	jonah crab			FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:6756	Cancer irroratus					https://en.wikipedia.org/wiki/Cancer_irroratus	atlantic rock crab	FDA SFL Common Name	rock crab	FDA SFL Acceptable Market Name		ITIS:98679	atlantic rock crab	crab, rock	atlantic rock crab			FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:6755	Cancer pagurus					https://en.wikipedia.org/wiki/Cancer_pagurus	edible rock crab	FDA SFL Common Name	rock crab	FDA SFL Acceptable Market Name	edible crab	ITIS:98681	edible rock crab	crab, rock	edible crab			FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:88209	Cancer productus					https://en.wikipedia.org/wiki/Cancer_productus	red rock crab	FDA SFL Common Name	rock crab	FDA SFL Acceptable Market Name		ITIS:98672	red rock crab	crab, rock	red rock crab			FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:1522393	Caprodon schlegelii					https://en.wikipedia.org/wiki/Caprodon	grouper	FDA SFL Common Name	grouper	FDA SFL Acceptable Market Name	sunrise perch	ITIS:167922	grouper	grouper	sunrise perch		Anthias schlegelii	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:173318	Carangoides bartholomaei					https://en.wikipedia.org/wiki/Yellow_jack	yellow jack	FDA SFL Common Name	jack	FDA SFL Acceptable Market Name		ITIS:168607	yellow jack	jack	yellow jack		Caranx bartholomaei	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:173315	Carangoides ruber					https://en.wikipedia.org/wiki/Bar_jack	bar jack	FDA SFL Common Name	jack	FDA SFL Acceptable Market Name		ITIS:168615	bar jack	jack	bar jack		Caranx crysos ruber | Caranx ruber | Scomber ruber	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:173313	Caranx caballus					https://en.wikipedia.org/wiki/Green_jack	green jack	FDA SFL Common Name	jack	FDA SFL Acceptable Market Name		ITIS:168611	green jack	jack	green jack			FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:173309	Caranx crysos					https://en.wikipedia.org/wiki/Blue_runner	blue runner	FDA SFL Common Name	jack | blue runner	FDA SFL Acceptable Market Name		ITIS:168612	blue runner	jack or blue runner	blue runner		Caranx fusus | Scomber crysos	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:173312	Caranx hippos					https://en.wikipedia.org/wiki/Crevalle_jack	crevalle jack	FDA SFL Common Name	jack	FDA SFL Acceptable Market Name		ITIS:168609	crevalle jack	jack	crevalle jack		Scomber hippos	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:75015	Caranx latus					https://en.wikipedia.org/wiki/Horse-eye_jack	horse-eye jack	FDA SFL Common Name	jack	FDA SFL Acceptable Market Name		ITIS:168610	horse-eye jack	jack	horse-eye jack			FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:1156094	Caranx lugubris					https://en.wikipedia.org/wiki/Caranx_lugubris	black jack	FDA SFL Common Name	jack	FDA SFL Acceptable Market Name		ITIS:168613	black jack	jack	black jack			FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:181461	Caranx melampygus					https://en.wikipedia.org/wiki/Bluefin_trevally	spotted jack	FDA SFL Common Name	jack | trevally	FDA SFL Acceptable Market Name	bluefin trevally	ITIS:168619	spotted jack	jack or trevally	bluefin trevally			FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:173346	Caranx sexfasciatus					https://en.wikipedia.org/wiki/Bigeye_trevally	bigeye trevally	FDA SFL Common Name	trevally	FDA SFL Acceptable Market Name		ITIS:168620	bigeye trevally	trevally	bigeye trevally			FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:173314	Caranx vinctus					https://en.wikipedia.org/wiki/Cocinero	striped jack	FDA SFL Common Name	jack	FDA SFL Acceptable Market Name	cocinero	ITIS:168627	striped jack	jack	cocinero			FDA Seafood List 2021 | Genome Tracker	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:217509	Carassius carassius					https://en.wikipedia.org/wiki/Crucian_carp	crucian carp	FDA SFL Common Name	carp	FDA SFL Acceptable Market Name		ITIS:163352	crucian carp	carp	crucian carp		Cyprinus carassius	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:154811	Carpiodes carpio					https://en.wikipedia.org/wiki/River_carpsucker	river carpsucker	FDA SFL Common Name	sucker	FDA SFL Acceptable Market Name		ITIS:163919	river carpsucker	sucker	river carpsucker		Catostomus carpio	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:244777	Carpiodes cyprinus					https://en.wikipedia.org/wiki/Quillback 	quillback	FDA SFL Common Name	sucker	FDA SFL Acceptable Market Name		ITIS:163917	quillback	sucker	quillback		Catostomus cyprinus	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:7971	Catostomus commersonii					https://en.wikipedia.org/wiki/White_sucker	white sucker	FDA SFL Common Name	sucker	FDA SFL Acceptable Market Name		ITIS:553273	white sucker	sucker	white sucker		Catostomus commersoni | Cyprinus commersoni | Catostomus commersonnii | Cyprinus commersonii | Cyprinus commersonnii	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:56558	Centropomus armatus					https://en.wikipedia.org/wiki/Centropomus	armed snook	FDA SFL Common Name	snook	FDA SFL Acceptable Market Name		ITIS:645615	armed snook	snook				FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:28803	Centropomus ensiferus					https://en.wikipedia.org/wiki/Centropomus	swordspine snook	FDA SFL Common Name	snook	FDA SFL Acceptable Market Name		ITIS:167645	swordspine snook	snook				FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:56560	Centropomus nigrescens					https://en.wikipedia.org/wiki/Centropomus	black snook	FDA SFL Common Name	snook	FDA SFL Acceptable Market Name		ITIS:167650	black snook	snook				FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:28805	Centropomus parallelus					https://en.wikipedia.org/wiki/Centropomus_parallelus	fat snook	FDA SFL Common Name	snook	FDA SFL Acceptable Market Name		ITIS:167646	fat snook	snook				FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:28802	Centropomus pectinatus					https://en.wikipedia.org/wiki/Centropomus	tarpon snook	FDA SFL Common Name	snook	FDA SFL Acceptable Market Name		ITIS:167647	tarpon snook	snook				FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:56562	Centropomus robalito					https://en.wikipedia.org/wiki/Centropomus	yellowfin snook	FDA SFL Common Name	snook	FDA SFL Acceptable Market Name		ITIS:167651	yellowfin snook	snook				FDA Seafood List 2021 | Genome Tracker	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:28806	Centropomus undecimalis					https://en.wikipedia.org/wiki/Common_snook	common snook	FDA SFL Common Name	snook	FDA SFL Acceptable Market Name		ITIS:167648	common snook	snook			Sciaena undecimalis	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:56564	Centropomus viridis					https://en.wikipedia.org/wiki/Centropomus	white snook	FDA SFL Common Name	snook	FDA SFL Acceptable Market Name		ITIS:645617	white snook	snook				FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:451888	Centropristis ocyurus					https://en.wikipedia.org/wiki/Centropristis	bank sea bass	FDA SFL Common Name	sea bass	FDA SFL Acceptable Market Name		ITIS:167690	bank sea bass	sea bass	bank sea bass		Serranus ocyurus	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:451889	Centropristis philadelphica					https://en.wikipedia.org/wiki/Centropristis	rock sea bass	FDA SFL Common Name	sea bass	FDA SFL Acceptable Market Name		ITIS:167691	rock sea bass	sea bass	rock sea bass		Perca philadelphica	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:184440	Centropristis striata					https://en.wikipedia.org/wiki/Black_sea_bass	black sea bass	FDA SFL Common Name	sea bass	FDA SFL Acceptable Market Name	black seabass	ITIS:167687	black sea bass	sea bass	black seabass		Labrus striatus	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
