Ontology ID	 Label NCBI	Label FoodOn	NCBI parent ID	Ontology Alternative Term	Exact Synonym (FoodOn)	See Also	FDA Common Name [after changes]	FDA SFL Common Name	FDA Acceptable Market Name(s) [after changes]	FDA SFL Acceptable Market Name	NCBI Genbank Common Name [after changes]	ITIS (TSN)	FDA Alternative Term [original]	FDA Acceptable Market Name(s) [original]	NCBI Genbank Common Name [original]	FDA law	NCBI Synonym	terms source | term requested	"term editor	"
NCBITaxon:93621	Heteropneustes fossilis					https://en.wikipedia.org/wiki/Heteropneustes_fossilis	stinging catfish	FDA SFL Common Name	stinging fish	FDA SFL Acceptable Market Name		ITIS:164131	stinging catfish	stinging fish	stinging catfish	FD&amp;C 403(t)	Silurus fossilis	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:238553	Hypophthalmus edentatus					https://en.wikipedia.org/wiki/Hypophthalmus_edentatus	highwaterman catfish	FDA SFL Common Name	highwaterman fish	FDA SFL Acceptable Market Name		ITIS:164260	highwaterman catfish	highwaterman fish	highwaterman catfish	FD&amp;C 403(t)		FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:255570	Kryptopterus			Kryptopterus spp.		https://en.wikipedia.org/wiki/Kryptopterus	glass catfishes	FDA SFL Common Name	sheatfish	FDA SFL Acceptable Market Name			(glass catfishes)	sheatfish		FD&amp;C 403(t)		FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:337539	Mystus vittatus					https://en.wikipedia.org/wiki/Mystus_vittatus	striped dwarf catfish	FDA SFL Common Name	striped dwarf fish	FDA SFL Acceptable Market Name		ITIS:164051	striped dwarf catfish	striped dwarf fish	striped dwarf catfish	FD&amp;C 403(t)	Silurus vittatus	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:596145	Ompok pabda					https://en.wikipedia.org/wiki/Ompok	pabdah catfish	FDA SFL Common Name	pabdah fish	FDA SFL Acceptable Market Name		ITIS:681925	pabdah catfish	pabdah fish	pabdah catfish	FD&amp;C 403(t)	Callichrous pabda | Silurus pabda | Wallago pabda	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:365580	Pangasius larnaudii					https://en.wikipedia.org/wiki/Pangasius	spot pangasius	FDA SFL Common Name	spot pangasius	FDA SFL Acceptable Market Name		ITIS:681703	spot pangasius	spot pangasius	spot pangasius		Pangasius larnaudieri | Pangasius larnaudiei | Pangasius larnaudei | Pangasius laurnaudi | Pangasius larnaudi	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:419338	Sciades couma					https://en.wikipedia.org/wiki/Couma_sea_catfish	couma sea catfish	FDA SFL Common Name	whiskerfish	FDA SFL Acceptable Market Name		ITIS:680779	couma sea catfish	whiskerfish	couma sea catfish	FD&amp;C 403(t)	Bagrus couma	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:419340	Sciades herzbergii					https://en.wikipedia.org/wiki/Pemecou_sea_catfish	pemecou sea catfish	FDA SFL Common Name	whiskerfish | cuirass	FDA SFL Acceptable Market Name		ITIS:680781	pemecou sea catfish	whiskerfish or cuirass	pemecou sea catfish	FD&amp;C 403(t)	Silurus herzbergii	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:419343	Sciades proops					https://en.wikipedia.org/wiki/Crucifix_sea_catfish	crucifix sea catfish	FDA SFL Common Name	crucifix whiskered fish	FDA SFL Acceptable Market Name		ITIS:680785	crucifix sea catfish	crucifix whiskered fish	crucifix sea catfish	FD&amp;C 403(t)	Bagrus proops | Arius proops	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:94993	Silurus glanis					https://en.wikipedia.org/wiki/Wels_catfish	wels catfish	FDA SFL Common Name	sheatfish	FDA SFL Acceptable Market Name	european catfish	ITIS:164068	wels catfish	sheatfish	european catfish	FD&amp;C 403(t)	Siluris glanis	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:209114	Sperata seenghala					https://en.wikipedia.org/wiki/Sperata_seenghala	giant river catfish	FDA SFL Common Name	baga ayre	FDA SFL Acceptable Market Name		ITIS:681127	giant river catfish	baga ayre	giant river-catfish	FD&amp;C 403(t)	Platystoma seenghala | Bagrus seenghala | Aoria seenghala | Macrones seenghala | Mystus seenghala | Aorichthys seenghala	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:238558	Zungaro zungaro					https://en.wikipedia.org/wiki/Gilded_catfish 	gilded catfish	FDA SFL Common Name	gilded fish | zungaro	FDA SFL Acceptable Market Name		ITIS:681805	gilded catfish	gilded fish or zungaro		FD&amp;C 403(t)	Paulicea luetkeni | Pseudopimelodus zungaro | Pimelodus zungaro	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:103204	Clarias anguillaris				mud fish	https://en.wikipedia.org/wiki/Clarias_anguillaris	mudfish	FDA SFL Common Name	clarias fish | walking clarias	FDA SFL Acceptable Market Name		ITIS:681159	mudfish	clarias fish or walking clarias			Silurus anguillaris	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:497982	Bagarius bagarius					https://en.wikipedia.org/wiki/Bagarius_bagarius	goonch	FDA SFL Common Name	goonch | ayres	FDA SFL Acceptable Market Name	dwarf goonch	ITIS:681975	goonch	goonch or ayres	dwarf goonch	FD&amp;C 403(t)	Pimelodus bagarius	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
