?class	?label	?syn_type
<http://purl.obolibrary.org/obo/CDNO_0100003>	"galacturonan derived from pectin"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100004>	"rhamnogalacturonan derived from pectin"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100005>	"mannan derived from hemicellulose"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100006>	"xylan derived from hemicellulose"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100007>	"xyloglucan derived from hemicellulose"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100008>	"glucomannan derived from hemicellulose"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100009>	"arabinoxylan derived from hemicellulose"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100010>	"fructan derived from hemicellulose"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100011>	"arabinan derived from hemicellulose"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100012>	"galactomannan derived from hemicellulose"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100013>	"galactan derived from hemicellulose"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100014>	"glucose derived from amylopectin derived from starch"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100015>	"glucose derived from amylose derived from starch"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100016>	"glucose derived from sucrose"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100017>	"fructose derived from sucrose"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100018>	"glucose derived from maltose"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100019>	"galacturonic acid derived from galacturonan derived from pectin"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100020>	"rhamnose derived from rhamnogalacturonan derived from pectin"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100021>	"apiose derived from rhamnogalacturonan derived from pectin"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100022>	"galacturonic acid derived from rhamnogalacturonan derived from pectin"@en	"label"
