?class	?label	?syn_type
<http://purl.obolibrary.org/obo/FAO_0000004>	"ascocarp-bound ascus"	"label"
<http://purl.obolibrary.org/obo/FAO_0000006>	"stipe"	"label"
<http://purl.obolibrary.org/obo/FAO_0000007>	"fruitbody"	"label"
<http://purl.obolibrary.org/obo/FAO_0000007>	"fruiting body"	"exact synonym"
<http://purl.obolibrary.org/obo/FAO_0000008>	"ascocarp"	"label"
<http://purl.obolibrary.org/obo/FAO_0000009>	"pileus"	"label"
<http://purl.obolibrary.org/obo/FAO_0000010>	"fruit body"	"exact synonym"
<http://purl.obolibrary.org/obo/FAO_0000010>	"fruitbody"	"exact synonym"
<http://purl.obolibrary.org/obo/FAO_0000010>	"fruiting body"	"exact synonym"
<http://purl.obolibrary.org/obo/FAO_0000010>	"spore-bearing structure"	"exact synonym"
<http://purl.obolibrary.org/obo/FAO_0000010>	"spore-producing structure"	"exact synonym"
<http://purl.obolibrary.org/obo/FAO_0000010>	"sporocarp"	"exact synonym"
<http://purl.obolibrary.org/obo/FAO_0000010>	"sporophore"	"label"
<http://purl.obolibrary.org/obo/FAO_0000011>	"mycelium"	"label"
<http://purl.obolibrary.org/obo/FAO_0000012>	"basidiocarp"	"label"
<http://purl.obolibrary.org/obo/FAO_0000013>	"ascospore in ascocarp-bound ascus"	"label"
<http://purl.obolibrary.org/obo/FAO_0000014>	"ascus"	"label"
<http://purl.obolibrary.org/obo/FAO_0000015>	"free ascus"	"label"
<http://purl.obolibrary.org/obo/FAO_0000016>	"ascospore in free ascus"	"label"
<http://purl.obolibrary.org/obo/FAO_0000017>	"sexual spore"	"label"
<http://purl.obolibrary.org/obo/FAO_0000018>	"cell"	"exact synonym"
<http://purl.obolibrary.org/obo/FAO_0000018>	"unicellular structure"	"label"
<http://purl.obolibrary.org/obo/FAO_0000019>	"spore"	"label"
<http://purl.obolibrary.org/obo/FAO_0000020>	"ascospore"	"label"
<http://purl.obolibrary.org/obo/FAO_0000021>	"basidiospore"	"label"
<http://purl.obolibrary.org/obo/FAO_0000022>	"teliospore"	"label"
<http://purl.obolibrary.org/obo/FAO_0000023>	"asexual spore"	"label"
<http://purl.obolibrary.org/obo/FAO_0000024>	"conidium"	"label"
<http://purl.obolibrary.org/obo/FAO_0000025>	"mononucleate conidium"	"label"
<http://purl.obolibrary.org/obo/FAO_0000025>	"uninucleate conidium"	"exact synonym"
<http://purl.obolibrary.org/obo/FAO_0000026>	"urediniospore"	"label"
<http://purl.obolibrary.org/obo/FAO_0000026>	"urediospore"	"exact synonym"
<http://purl.obolibrary.org/obo/FAO_0000026>	"uredospore"	"exact synonym"
<http://purl.obolibrary.org/obo/FAO_0000027>	"conidium of conidiophore head"	"label"
<http://purl.obolibrary.org/obo/FAO_0000028>	"microconidium"	"label"
<http://purl.obolibrary.org/obo/FAO_0000029>	"mononucleate macroconidium"	"label"
<http://purl.obolibrary.org/obo/FAO_0000029>	"uninucleate macroconidium"	"exact synonym"
<http://purl.obolibrary.org/obo/FAO_0000030>	"mononucleate blastoconidium"	"label"
<http://purl.obolibrary.org/obo/FAO_0000030>	"uninucleate blastoconidium"	"exact synonym"
<http://purl.obolibrary.org/obo/FAO_0000031>	"mononucleate arthroconidium"	"label"
<http://purl.obolibrary.org/obo/FAO_0000031>	"uninucleate arthroconidium"	"exact synonym"
<http://purl.obolibrary.org/obo/FAO_0000032>	"vegetative cell"	"label"
<http://purl.obolibrary.org/obo/FAO_0000033>	"multinucleate conidium"	"label"
<http://purl.obolibrary.org/obo/FAO_0000034>	"lichen thallus"	"label"
<http://purl.obolibrary.org/obo/FAO_0000035>	"multinucleate macroconidium"	"label"
<http://purl.obolibrary.org/obo/FAO_0000036>	"multinucleate blastoconidium"	"label"
<http://purl.obolibrary.org/obo/FAO_0000037>	"multinucleate arthroconidium"	"label"
<http://purl.obolibrary.org/obo/FAO_0000038>	"macroconidium"	"label"
<http://purl.obolibrary.org/obo/FAO_0000039>	"oospore"	"label"
<http://purl.obolibrary.org/obo/FAO_0000040>	"zygospore"	"label"
<http://purl.obolibrary.org/obo/FAO_0000041>	"arthroconidium"	"label"
<http://purl.obolibrary.org/obo/FAO_0000042>	"blastoconidium"	"label"
<http://purl.obolibrary.org/obo/FAO_0000043>	"conidiophore"	"label"
<http://purl.obolibrary.org/obo/FAO_0000044>	"sterigma"	"label"
<http://purl.obolibrary.org/obo/FAO_0000044>	"sterigmata (plural)"	"exact synonym"
<http://purl.obolibrary.org/obo/FAO_0000045>	"phialide"	"label"
<http://purl.obolibrary.org/obo/FAO_0000045>	"secondary sterigma"	"exact synonym"
<http://purl.obolibrary.org/obo/FAO_0000046>	"metula"	"label"
<http://purl.obolibrary.org/obo/FAO_0000046>	"metulae (plural)"	"exact synonym"
<http://purl.obolibrary.org/obo/FAO_0000046>	"primary sterigma"	"exact synonym"
<http://purl.obolibrary.org/obo/FAO_0000047>	"cleistothecium"	"label"
<http://purl.obolibrary.org/obo/FAO_0000048>	"Hulle cell"	"label"
<http://purl.obolibrary.org/obo/FAO_0000049>	"conidiophore vesicle"	"label"
<http://purl.obolibrary.org/obo/FAO_0000050>	"conidiophore stalk"	"label"
<http://purl.obolibrary.org/obo/FAO_0000051>	"oidium"	"label"
<http://purl.obolibrary.org/obo/FAO_0000052>	"sporangium"	"label"
<http://purl.obolibrary.org/obo/FAO_0000053>	"zygosporangium"	"label"
<http://purl.obolibrary.org/obo/FAO_0000054>	"aeciospore"	"label"
<http://purl.obolibrary.org/obo/FAO_0000055>	"aplanospore"	"label"
<http://purl.obolibrary.org/obo/FAO_0000056>	"aecium"	"label"
<http://purl.obolibrary.org/obo/FAO_0000057>	"telium"	"label"
<http://purl.obolibrary.org/obo/FAO_0000058>	"uredinium"	"label"
<http://purl.obolibrary.org/obo/FAO_0000058>	"uredium"	"exact synonym"
<http://purl.obolibrary.org/obo/FAO_0000059>	"conjugation tube"	"label"
<http://purl.obolibrary.org/obo/FAO_0000060>	"clamp cell"	"label"
<http://purl.obolibrary.org/obo/FAO_0000061>	"fused clamp"	"label"
<http://purl.obolibrary.org/obo/FAO_0000062>	"unfused clamp"	"label"
<http://purl.obolibrary.org/obo/FAO_0000063>	"titan cell"	"label"
<http://purl.obolibrary.org/obo/FAO_0000064>	"ballistoconidium"	"exact synonym"
<http://purl.obolibrary.org/obo/FAO_0000064>	"ballistospore"	"label"
<http://purl.obolibrary.org/obo/FAO_0000065>	"dikaryon"	"label"
<http://purl.obolibrary.org/obo/FAO_0000066>	"haustorium"	"label"
<http://purl.obolibrary.org/obo/FAO_0000067>	"chlamydospore"	"label"
<http://purl.obolibrary.org/obo/FAO_0001001>	"hypha"	"label"
<http://purl.obolibrary.org/obo/FAO_0001002>	"pseudohypha"	"label"
<http://purl.obolibrary.org/obo/FAO_0001003>	"hypha in mycelium"	"label"
<http://purl.obolibrary.org/obo/FAO_0001004>	"septate hypha in mycelium"	"label"
<http://purl.obolibrary.org/obo/FAO_0001005>	"rhizomorph"	"label"
<http://purl.obolibrary.org/obo/FAO_0001006>	"mycelial cord"	"label"
<http://purl.obolibrary.org/obo/FAO_0001007>	"stroma"	"label"
<http://purl.obolibrary.org/obo/FAO_0001008>	"sclerotium"	"label"
<http://purl.obolibrary.org/obo/FAO_0001009>	"septate hypha"	"label"
<http://purl.obolibrary.org/obo/FAO_0001010>	"aseptate hypha"	"label"
<http://purl.obolibrary.org/obo/FAO_0001011>	"hyphal tip"	"label"
<http://purl.obolibrary.org/obo/FAO_0001012>	"hyphal tip, hypha in mycelium"	"label"
<http://purl.obolibrary.org/obo/FAO_0001013>	"hypha with dolipore septa, in mycelium"	"label"
<http://purl.obolibrary.org/obo/FAO_0001014>	"aseptate hypha in mycelium"	"label"
<http://purl.obolibrary.org/obo/FAO_0001015>	"hyphal tip, septate hypha in mycelium"	"label"
<http://purl.obolibrary.org/obo/FAO_0001016>	"hyphal tip, septate hypha"	"label"
<http://purl.obolibrary.org/obo/FAO_0001017>	"hyphal tip, hypha with dolipore septa in mycelium"	"label"
<http://purl.obolibrary.org/obo/FAO_0001018>	"hypha with dolipore septa"	"label"
<http://purl.obolibrary.org/obo/FAO_0001019>	"hyphal tip, hypha with dolipore septa"	"label"
<http://purl.obolibrary.org/obo/FAO_0001020>	"hyphal tip, aseptate hypha in mycelium"	"label"
<http://purl.obolibrary.org/obo/FAO_0001021>	"hyphal tip, aseptate hypha"	"label"
<http://purl.obolibrary.org/obo/FAO_0001022>	"mating cell"	"label"
<http://purl.obolibrary.org/obo/FAO_0001023>	"shmoo"	"label"
<http://purl.obolibrary.org/obo/FAO_0001025>	"mycelial felt"	"label"
<http://purl.obolibrary.org/obo/FAO_0001027>	"mycorrhiza"	"label"
<http://purl.obolibrary.org/obo/FAO_0001028>	"sorocarp"	"label"
<http://purl.obolibrary.org/obo/FAO_0001029>	"pseudoplasmodium"	"label"
<http://purl.obolibrary.org/obo/FAO_0001030>	"substrate mycelium"	"label"
<http://purl.obolibrary.org/obo/FAO_0001031>	"aerial mycelium"	"label"
<http://purl.obolibrary.org/obo/FAO_0001034>	"apothecium"	"label"
<http://purl.obolibrary.org/obo/FAO_0001035>	"gymnothecium"	"label"
<http://purl.obolibrary.org/obo/FAO_0001036>	"perithecium"	"label"
<http://purl.obolibrary.org/obo/FAO_0001051>	"germ tube"	"label"
<http://purl.obolibrary.org/obo/FAO_0001052>	"fungal primordium"	"label"
<http://purl.obolibrary.org/obo/FAO_0001053>	"microsclerotium"	"label"
<http://purl.obolibrary.org/obo/FAO_0002001>	"protoperithecium"	"label"
<http://purl.obolibrary.org/obo/FAO_0002002>	"multicellular fungal structure"	"label"
<http://purl.obolibrary.org/obo/FAO_0002003>	"multicellular fungal structure, unicellular organism"	"label"
<http://purl.obolibrary.org/obo/FAO_0002003>	"multicellular structure, unicellular organism"	"exact synonym"
<http://purl.obolibrary.org/obo/FAO_0002004>	"multicellular fungal structure, multicellular organism"	"label"
<http://purl.obolibrary.org/obo/FAO_0002004>	"multicellular structure, multicellular organism"	"exact synonym"
<http://purl.obolibrary.org/obo/FAO_0002005>	"appressorium"	"label"
<http://purl.obolibrary.org/obo/FAO_0002006>	"haploid fruit body"	"exact synonym"
<http://purl.obolibrary.org/obo/FAO_0002006>	"haploid fruitbody"	"exact synonym"
<http://purl.obolibrary.org/obo/FAO_0002006>	"haploid fruiting body"	"exact synonym"
<http://purl.obolibrary.org/obo/FAO_0002006>	"monokaryotic fruit body"	"exact synonym"
<http://purl.obolibrary.org/obo/FAO_0002006>	"monokaryotic fruitbody"	"label"
<http://purl.obolibrary.org/obo/FAO_0002006>	"monokaryotic fruiting body"	"exact synonym"
<http://purl.obolibrary.org/obo/FAO_0002007>	"conidiophore foot cell"	"label"
<http://purl.obolibrary.org/obo/FAO_0002008>	"conidial anastomosis tube"	"label"
<http://purl.obolibrary.org/obo/FAO_0002009>	"spherule"	"label"
<http://purl.obolibrary.org/obo/FAO_0002010>	"sexual structure"	"label"
<http://purl.obolibrary.org/obo/FAO_0002011>	"mating filament"	"label"
<http://purl.obolibrary.org/obo/FLOPO_0016496>	"fruit multiple"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00000000>	"foodon ontology data specification"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00000015>	"bull"@en	"synonym"
<http://purl.obolibrary.org/obo/FOODON_00000015>	"cattle bull"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00000015>	"http://purl.obolibrary.org/obo/AGRO_00000119"@en	"broad synonym"
<http://purl.obolibrary.org/obo/FOODON_00000071>	"food cutting process"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00000074>	"tortoise"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00001198>	"broad bean (whole, dried)"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00001198>	"dried fava bean"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00001287>	"fungi"@en	"broad synonym"
<http://purl.obolibrary.org/obo/FOODON_00001287>	"mushroom (whole organism)"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00001287>	"wild mushroom"@en	"narrow synonym"
<http://purl.obolibrary.org/obo/FOODON_00001304>	"food fermentation"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00001567>	"animal meat primal cut"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00001716>	"chemical sweetener product"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00001895>	"garlic food product"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002396>	"artificial vanilla"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002396>	"synthetic vanilla extract"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002396>	"synthetic vanillin"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002396>	"vanilla"@en	"broad synonym"
<http://purl.obolibrary.org/obo/FOODON_00002396>	"vanillin"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002404>	"meat roasting"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002405>	"thickness of 0.3 cm to less than 1.5 cm"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002406>	"thickness of 0.3 cm or less"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002407>	"thickness of 1.5 cm to less than 7.0 cm"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002408>	"thickness of 7 cm or more"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002409>	"food physical forming process"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002410>	"thickness of 1.5 cm or more"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002414>	"food solvent extraction process"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002415>	"food milling process"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002416>	"food canning process"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002419>	"food evaporation process"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002451>	"food transformation process"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002452>	"animal"@en	"broad synonym"
<http://purl.obolibrary.org/obo/FOODON_00002452>	"invertebrate animal"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002462>	"pan frying"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002470>	"food object quality"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002473>	"apple"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002473>	"apple (whole)"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002483>	"rice-field rat"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002483>	"ricefield rat"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002487>	"Jujube"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002487>	"jujube fruit"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002487>	"jujube fruit (whole, raw)"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002505>	"dairy cattle"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002507>	"taurine cattle"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002508>	"navel orange plant"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002509>	"Bosc pear (whole, raw)"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002509>	"Kaiser"@en	"synonym"
<http://purl.obolibrary.org/obo/FOODON_00002509>	"Beurré Bosc"@fr	"synonym"
<http://purl.obolibrary.org/obo/FOODON_00002511>	"navel orange"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002511>	"navel orange (whole, raw)"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002517>	"food packing medium compromised"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002518>	"heifer"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002521>	"beetle larva"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002521>	"grub"@en	"broad synonym"
<http://purl.obolibrary.org/obo/FOODON_00002522>	"darkling beetle"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002523>	"mealworm beetle"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002524>	"mealworm"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002525>	"rhino beetle"@en	"synonym"
<http://purl.obolibrary.org/obo/FOODON_00002525>	"rhinoceros beetle"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002531>	"bull"@en	"synonym"
<http://purl.obolibrary.org/obo/FOODON_00002531>	"cattle steer"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002531>	"steer"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002555>	"Japanese Black"@en	"narrow synonym"
<http://purl.obolibrary.org/obo/FOODON_00002555>	"Japanese Brown"@en	"narrow synonym"
<http://purl.obolibrary.org/obo/FOODON_00002555>	"Japanese Polled"@en	"narrow synonym"
<http://purl.obolibrary.org/obo/FOODON_00002555>	"Japanese Shorthorn"@en	"narrow synonym"
<http://purl.obolibrary.org/obo/FOODON_00002555>	"wagyu cattle"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002555>	"Akage Washu"@ja	"narrow synonym"
<http://purl.obolibrary.org/obo/FOODON_00002555>	"Kuroge Washu"@ja	"narrow synonym"
<http://purl.obolibrary.org/obo/FOODON_00002555>	"Mukaku Washu"@ja	"narrow synonym"
<http://purl.obolibrary.org/obo/FOODON_00002555>	"Nihon Tankaku Washu"@ja	"narrow synonym"
<http://purl.obolibrary.org/obo/FOODON_00002555>	"日本短角和種"@ja	"narrow synonym"
<http://purl.obolibrary.org/obo/FOODON_00002555>	"無角和種"@ja	"narrow synonym"
<http://purl.obolibrary.org/obo/FOODON_00002555>	"赤毛和種"@ja	"narrow synonym"
<http://purl.obolibrary.org/obo/FOODON_00002555>	"黒毛和種"@ja	"narrow synonym"
<http://purl.obolibrary.org/obo/FOODON_00002555>	"Akaushi"@jp	"narrow synonym"
<http://purl.obolibrary.org/obo/FOODON_00002559>	"Red Delicious apple tree"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002560>	"Red Delicious apple (whole)"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002572>	"cut of beef, british"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002573>	"beef rump cut (british)"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002573>	"rump"@en	"synonym"
<http://purl.obolibrary.org/obo/FOODON_00002574>	"cut of beef"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002578>	"white grape (whole, raw)"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002579>	"fryer-roaster turkey"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002581>	"aquatic invertebrate"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002582>	"Lethocerus indicus"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002582>	"giant water bug"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002582>	"maeng da"@th	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002582>	"maeng da na"@th	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002582>	"malaeng da"@th	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002582>	"malaeng da na"@th	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002582>	"แมงดา"@th	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002582>	"แมงดานา"@th	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002582>	"แมลงดา"@th	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002582>	"แมลงดานา"@th	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002582>	"cà cuống"@vi	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002583>	"Chardonnay grape plant"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002587>	"Chenin blanc grape plant"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002587>	"Pineau de la Loire"@fr	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002589>	"Malbec grape plant"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002591>	"Merlot grape plant"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002593>	"Pinot blanc grape plant"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002595>	"Pinot gris grape plant"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002595>	"Grauburgunder"@ge	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002595>	"Pinot Grigio grape"@it	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002597>	"Pinot noir grape plant"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002599>	"Pinotage grape plant"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002602>	"Riesling grape plant"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002604>	"Sangiovese grape plant"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002606>	"Sauvignon blanc grape plant"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002608>	"Semillon grape plant"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002608>	"Sémillon grape"@fr	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002610>	"Glera grape plant"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002610>	"Prosecco grape"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002613>	"Shiraz"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002613>	"Syrah grape plant"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002615>	"Tempranillo grape plant"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002615>	"Cencibel"@es	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002615>	"Tinta del Pais"@es	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002615>	"Ull de Llebre"@es	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002615>	"Aragonez"@pt	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002615>	"Tinta Roriz"@pt	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002616>	"Aves"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002616>	"avian"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002616>	"avian animal"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002616>	"bird"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002618>	"Primitivo"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002618>	"Zinfandel grape plant"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002620>	"Frappato grape plant"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002620>	"Frappato di Vittoria"@it	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002622>	"Gamay grape plant"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002622>	"Gamay Noir à Jus Blanc"@fr	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002624>	"Gewürz"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002624>	"Gewürztraminer grape plant"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002624>	"Gewurztraminer"@fr	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002626>	"Carignane grape plant"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002626>	"Carinyena"@es	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002626>	"Cariñena"@es	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002626>	"Mazuelo"@es	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002626>	"Samsó"@es	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002626>	"Bovale Grande"@it	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002626>	"Carignano"@it	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002628>	"Grenache grape plant"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002628>	"Garnacha"@es	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002630>	"Barbera grape plant"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002640>	"Cabernet Sauvignon grape plant"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002648>	"food scalding"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002648>	"scalding"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002679>	"fish fillet"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002680>	"mahi mahi fillet"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002685>	"boston bean"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002685>	"haricot"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002685>	"navy bean"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002685>	"navy bean (whole)"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002685>	"pea bean"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002685>	"pearl haricot bean"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002685>	"white pea bean"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002686>	"langouste"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002686>	"langustas"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002686>	"rock lobster"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002686>	"spiny lobster"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002687>	"Lactuca sativa L. var. longifolia"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002687>	"cos lettuce"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002687>	"romaine"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002687>	"romaine lettuce head"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002693>	"alpaca"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002697>	"apple snail"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002707>	"food cleaning process"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002717>	"fly"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002721>	"food dehulling process"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002722>	"corn husking process"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002722>	"husking"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002723>	"American mink"@en	"narrow synonym"
<http://purl.obolibrary.org/obo/FOODON_00002723>	"European mink"@en	"narrow synonym"
<http://purl.obolibrary.org/obo/FOODON_00002723>	"mink"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002725>	"pabda"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002725>	"pabda fish"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002726>	"parrot"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002727>	"parakeet"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002732>	"food seasoning process"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002732>	"seasoning"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002740>	"food packaging process"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002748>	"tin foil barb"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002748>	"tinfoil barb"@en	"label"
<http://purl.obolibrary.org/obo/FOODON_00002748>	"tinfoil barbfish"@en	"exact synonym"
<http://purl.obolibrary.org/obo/FOODON_00002749>	"brown bean"@en	"exact synonym"
